epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1685.58,0.30253,0.28645,0.78491,0.99761,0.99809,0.9949,0.96824,0.24463,0.23223,0.76054,0.000228729,0.000228729,0.000228729
43,1726.32,0.30175,0.28467,0.78474,0.99801,0.99847,0.99492,0.96654,0.25056,0.22807,0.7611,0.000224917,0.000224917,0.000224917
44,1766.61,0.30513,0.28526,0.78576,0.99761,0.99848,0.99493,0.96849,0.24126,0.22524,0.76028,0.000221106,0.000221106,0.000221106
45,1805.43,0.30364,0.28119,0.78559,0.99801,0.99844,0.99492,0.96897,0.24388,0.22226,0.75985,0.000217294,0.000217294,0.000217294
46,1845.56,0.30142,0.27955,0.78471,0.99804,0.99854,0.99491,0.96781,0.24014,0.22246,0.76003,0.000213482,0.000213482,0.000213482
47,1885.61,0.29772,0.27844,0.7852,0.99819,0.99823,0.99493,0.96836,0.23998,0.22202,0.75971,0.000209671,0.000209671,0.000209671
48,1924.1,0.30051,0.2802,0.78421,0.99826,0.99823,0.99494,0.96956,0.23974,0.21884,0.7599,0.00020586,0.00020586,0.00020586
49,1964.49,0.29649,0.27605,0.78378,0.99773,0.99875,0.99493,0.96754,0.24569,0.21946,0.76023,0.000202048,0.000202048,0.000202048
50,2004.2,0.29437,0.2728,0.78475,0.9979,0.99812,0.99494,0.96893,0.23874,0.21776,0.75963,0.000198236,0.000198236,0.000198236
51,2042.3,0.29815,0.27297,0.78501,0.998,0.99858,0.99495,0.96956,0.24334,0.21619,0.75994,0.000194425,0.000194425,0.000194425
52,2082.68,0.29341,0.27106,0.78491,0.99811,0.99835,0.99494,0.96907,0.23893,0.2155,0.75965,0.000190613,0.000190613,0.000190613
53,2122.65,0.29568,0.2693,0.78423,0.99773,0.99847,0.99493,0.96896,0.23937,0.21518,0.75953,0.000186802,0.000186802,0.000186802
54,2160.6,0.29177,0.26567,0.78531,0.99769,0.99869,0.99494,0.96845,0.23958,0.21147,0.75982,0.00018299,0.00018299,0.00018299
55,2200.68,0.29525,0.26812,0.78376,0.99817,0.99844,0.99495,0.96806,0.24581,0.21499,0.75971,0.000179179,0.000179179,0.000179179
56,2238.99,0.29668,0.26633,0.78423,0.99799,0.99856,0.99493,0.96838,0.24397,0.21321,0.75969,0.000175367,0.000175367,0.000175367
57,2278.74,0.29002,0.26369,0.78419,0.99824,0.9985,0.99495,0.96959,0.23784,0.21067,0.75945,0.000171556,0.000171556,0.000171556
58,2320.16,0.2909,0.26328,0.78398,0.99749,0.99835,0.99494,0.96939,0.24269,0.2109,0.75949,0.000167745,0.000167745,0.000167745
59,2360.98,0.29112,0.26232,0.78412,0.9977,0.99844,0.99493,0.9696,0.23901,0.20867,0.75897,0.000163933,0.000163933,0.000163933
60,2401.11,0.29302,0.26137,0.78338,0.99774,0.9987,0.99494,0.96919,0.24489,0.20958,0.75966,0.000160122,0.000160122,0.000160122
61,2441.84,0.29062,0.25803,0.78408,0.99857,0.99845,0.99496,0.96954,0.23952,0.20792,0.75918,0.00015631,0.00015631,0.00015631
62,2480.99,0.28963,0.25758,0.78392,0.99833,0.99851,0.99496,0.96973,0.23532,0.20566,0.75907,0.000152498,0.000152498,0.000152498
63,2520.31,0.29111,0.25725,0.78332,0.99813,0.99822,0.99494,0.96927,0.23957,0.20653,0.75971,0.000148687,0.000148687,0.000148687
64,2560.26,0.28972,0.25586,0.78412,0.99793,0.99868,0.99495,0.96924,0.23901,0.20478,0.75929,0.000144875,0.000144875,0.000144875
65,2599.04,0.28755,0.25289,0.78419,0.99842,0.99864,0.99494,0.9698,0.2359,0.20315,0.75897,0.000141064,0.000141064,0.000141064
66,2639.65,0.28548,0.25134,0.78255,0.99843,0.99821,0.99495,0.96954,0.23716,0.20359,0.75928,0.000137252,0.000137252,0.000137252
67,2681.18,0.28545,0.25183,0.78291,0.9985,0.9984,0.99495,0.9694,0.23732,0.20333,0.75883,0.000133441,0.000133441,0.000133441
68,2720.39,0.29086,0.25328,0.78424,0.99784,0.99859,0.99496,0.97018,0.236,0.20311,0.75884,0.000129629,0.000129629,0.000129629
69,2761.37,0.28397,0.24933,0.78248,0.998,0.99788,0.99492,0.97005,0.23785,0.20225,0.75925,0.000125818,0.000125818,0.000125818
70,2802.34,0.28654,0.25047,0.78339,0.99792,0.99883,0.99494,0.97024,0.23556,0.20078,0.75884,0.000122007,0.000122007,0.000122007
71,2841.65,0.28301,0.24735,0.78349,0.99787,0.99866,0.99494,0.9708,0.23767,0.20214,0.75915,0.000118195,0.000118195,0.000118195
72,2882.08,0.283,0.24701,0.7837,0.99821,0.99862,0.99496,0.9701,0.23466,0.19899,0.75861,0.000114384,0.000114384,0.000114384
73,2922.72,0.28239,0.24672,0.78307,0.9984,0.99837,0.99495,0.97029,0.23686,0.19898,0.75879,0.000110572,0.000110572,0.000110572
74,2962.8,0.28087,0.24435,0.7833,0.99834,0.99862,0.99495,0.97069,0.23511,0.19829,0.75907,0.000106761,0.000106761,0.000106761
75,3003.29,0.28073,0.24395,0.78279,0.99802,0.99863,0.99493,0.97001,0.23481,0.19686,0.75891,0.000102949,0.000102949,0.000102949
76,3044.94,0.27899,0.24199,0.78206,0.99834,0.99849,0.99494,0.97108,0.23467,0.19634,0.75898,9.91375e-05,9.91375e-05,9.91375e-05
77,3086.49,0.28303,0.24395,0.78293,0.99842,0.99856,0.99495,0.97027,0.23511,0.19615,0.75925,9.5326e-05,9.5326e-05,9.5326e-05
78,3125.44,0.27897,0.2405,0.78208,0.99829,0.99815,0.99495,0.97064,0.23339,0.19482,0.75887,9.15145e-05,9.15145e-05,9.15145e-05
79,3165.89,0.28102,0.24063,0.78285,0.99826,0.9986,0.99495,0.97075,0.23246,0.19494,0.75906,8.7703e-05,8.7703e-05,8.7703e-05
80,3204.89,0.27891,0.23916,0.7825,0.9983,0.99868,0.99494,0.97045,0.23531,0.19456,0.75926,8.38915e-05,8.38915e-05,8.38915e-05
81,3244.37,0.27844,0.23928,0.78284,0.99799,0.9987,0.99493,0.97099,0.23391,0.19342,0.75901,8.008e-05,8.008e-05,8.008e-05
82,3285.41,0.27992,0.23862,0.78277,0.99801,0.99847,0.99492,0.97047,0.2357,0.19543,0.75896,7.62685e-05,7.62685e-05,7.62685e-05
83,3323.77,0.2768,0.23755,0.78184,0.99838,0.99874,0.99494,0.97141,0.23437,0.19315,0.75879,7.2457e-05,7.2457e-05,7.2457e-05
84,3364.38,0.27673,0.23686,0.78208,0.99792,0.99874,0.99494,0.97082,0.23395,0.19231,0.75894,6.86455e-05,6.86455e-05,6.86455e-05
85,3404.94,0.27745,0.23675,0.7821,0.99813,0.9986,0.99493,0.97116,0.23433,0.19136,0.75898,6.4834e-05,6.4834e-05,6.4834e-05
86,3443.59,0.27527,0.23516,0.78161,0.99807,0.99858,0.9949,0.97071,0.23316,0.19105,0.75891,6.10225e-05,6.10225e-05,6.10225e-05
87,3484.06,0.27633,0.23519,0.78198,0.99792,0.99855,0.99491,0.97146,0.23317,0.19016,0.75883,5.7211e-05,5.7211e-05,5.7211e-05
88,3525.15,0.27704,0.23487,0.78252,0.99845,0.99815,0.99494,0.97126,0.2332,0.19077,0.7587,5.33995e-05,5.33995e-05,5.33995e-05
89,3563.8,0.27529,0.23341,0.78193,0.99819,0.9987,0.99495,0.97134,0.23294,0.18993,0.75857,4.9588e-05,4.9588e-05,4.9588e-05
90,3604.77,0.27499,0.23341,0.78138,0.99841,0.99846,0.99494,0.97132,0.23276,0.19024,0.75873,4.57765e-05,4.57765e-05,4.57765e-05
91,3646.66,0.26932,0.2392,0.7761,0.99843,0.99854,0.99488,0.96767,0.24198,0.19852,0.75812,4.1965e-05,4.1965e-05,4.1965e-05
92,3683.54,0.25693,0.22526,0.77418,0.99834,0.99853,0.99496,0.96957,0.23857,0.19503,0.75776,3.81535e-05,3.81535e-05,3.81535e-05
93,3722.35,0.25412,0.22173,0.77334,0.99841,0.99833,0.99496,0.96986,0.23653,0.19264,0.75774,3.4342e-05,3.4342e-05,3.4342e-05
94,3759.39,0.25215,0.2183,0.77427,0.99844,0.99855,0.99495,0.97068,0.23535,0.19142,0.75788,3.05305e-05,3.05305e-05,3.05305e-05
95,3798.25,0.25143,0.21709,0.77382,0.99834,0.99862,0.99495,0.97099,0.23637,0.19081,0.75806,2.6719e-05,2.6719e-05,2.6719e-05
96,3835.03,0.25154,0.21662,0.77421,0.99834,0.99866,0.99496,0.97078,0.23592,0.19037,0.7581,2.29075e-05,2.29075e-05,2.29075e-05
97,3873.52,0.24854,0.21442,0.77403,0.99819,0.99864,0.99496,0.97021,0.2357,0.1897,0.75832,1.9096e-05,1.9096e-05,1.9096e-05
98,3910.07,0.24793,0.21364,0.77453,0.99814,0.99858,0.99492,0.97003,0.23562,0.18866,0.75847,1.52845e-05,1.52845e-05,1.52845e-05
99,3949.14,0.247,0.21211,0.77249,0.99839,0.99844,0.99494,0.97082,0.2342,0.18771,0.75816,1.1473e-05,1.1473e-05,1.1473e-05
100,3986.3,0.24549,0.21167,0.77399,0.99819,0.99853,0.99493,0.97088,0.23413,0.1874,0.75821,7.6615e-06,7.6615e-06,7.6615e-06
