epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2560.44,0.30117,0.28459,0.78778,0.99501,0.99566,0.99465,0.95024,0.24902,0.23257,0.76834,0.000204965,0.000204965,0.000204965
43,2623.75,0.30302,0.28451,0.78896,0.99574,0.99476,0.99471,0.95135,0.24766,0.23228,0.76858,0.000201549,0.000201549,0.000201549
44,2686.57,0.30113,0.28147,0.78792,0.9957,0.99495,0.99466,0.9491,0.24994,0.23035,0.76861,0.000198134,0.000198134,0.000198134
45,2749.95,0.3007,0.28071,0.78754,0.99607,0.99417,0.99472,0.94778,0.25477,0.23173,0.76907,0.000194718,0.000194718,0.000194718
46,2812.39,0.30004,0.27849,0.78783,0.99585,0.99485,0.99473,0.94856,0.25019,0.22887,0.76819,0.000191303,0.000191303,0.000191303
47,2875.34,0.30022,0.27928,0.7874,0.99629,0.99334,0.99472,0.9531,0.24456,0.22896,0.7678,0.000187887,0.000187887,0.000187887
48,2938.46,0.3001,0.27657,0.78693,0.99557,0.99601,0.99476,0.94704,0.26502,0.23089,0.76963,0.000184472,0.000184472,0.000184472
49,3001.91,0.29684,0.27288,0.78782,0.99542,0.99555,0.99485,0.9521,0.24751,0.22477,0.76832,0.000181056,0.000181056,0.000181056
50,3064.21,0.29816,0.27419,0.78755,0.99592,0.9957,0.99472,0.95384,0.24291,0.22234,0.7678,0.00017764,0.00017764,0.00017764
51,3126.28,0.29792,0.27219,0.78688,0.99529,0.99553,0.99474,0.94909,0.26084,0.22665,0.76914,0.000174225,0.000174225,0.000174225
52,3193.33,0.29403,0.26722,0.78656,0.99529,0.995,0.99472,0.95425,0.24339,0.21997,0.76742,0.000170809,0.000170809,0.000170809
53,3270.98,0.29603,0.26729,0.78733,0.99559,0.99581,0.99478,0.95265,0.24725,0.22059,0.76804,0.000167394,0.000167394,0.000167394
54,3336.09,0.29649,0.26728,0.78749,0.99581,0.99535,0.99477,0.95365,0.24341,0.21939,0.76735,0.000163978,0.000163978,0.000163978
55,3400.51,0.29044,0.26196,0.78621,0.99591,0.99526,0.99481,0.95162,0.24822,0.21849,0.76789,0.000160563,0.000160563,0.000160563
56,3465.86,0.29161,0.26272,0.7867,0.99681,0.99434,0.99476,0.95123,0.25121,0.21849,0.76775,0.000157147,0.000157147,0.000157147
57,3530.94,0.29184,0.26209,0.78537,0.99637,0.99531,0.99479,0.95324,0.24784,0.21599,0.76752,0.000153732,0.000153732,0.000153732
58,3594.13,0.29002,0.26162,0.78671,0.9956,0.99599,0.99478,0.95556,0.24255,0.21418,0.76724,0.000150317,0.000150317,0.000150317
