epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2851.49,0.31079,0.21671,0.82341,0.99973,1,0.995,0.97467,0.23691,0.16986,0.79754,0.000638047,0.000638047,0.000638047
45,2915.83,0.30494,0.21325,0.8225,0.99979,1,0.995,0.97326,0.23946,0.17274,0.79722,0.000627048,0.000627048,0.000627048
46,2980.42,0.30796,0.21184,0.82344,0.99968,1,0.995,0.97062,0.25164,0.17665,0.79983,0.000616049,0.000616049,0.000616049
47,3044.94,0.309,0.21265,0.82317,0.99967,1,0.995,0.97419,0.24303,0.17159,0.79798,0.000605051,0.000605051,0.000605051
48,3108.11,0.30943,0.2115,0.82553,0.99981,1,0.995,0.9739,0.24286,0.16934,0.79979,0.000594052,0.000594052,0.000594052
49,3173.06,0.30998,0.20944,0.82363,0.99979,1,0.995,0.97492,0.23449,0.16556,0.79833,0.000583053,0.000583053,0.000583053
50,3237.33,0.31131,0.2112,0.82409,0.99979,1,0.995,0.97362,0.23815,0.16786,0.7986,0.000572054,0.000572054,0.000572054
51,3301.06,0.30843,0.20739,0.82313,0.9997,1,0.995,0.97559,0.23567,0.16617,0.7984,0.000561055,0.000561055,0.000561055
52,3364.39,0.30056,0.20504,0.82416,0.9996,1,0.995,0.97542,0.24176,0.17069,0.79982,0.000550056,0.000550056,0.000550056
53,3427.1,0.30002,0.20438,0.82286,0.99979,1,0.995,0.97592,0.23259,0.16447,0.79847,0.000539057,0.000539057,0.000539057
54,3490,0.29701,0.20244,0.82186,0.99975,1,0.995,0.97509,0.23288,0.16685,0.79824,0.000528058,0.000528058,0.000528058
55,3554.86,0.29409,0.20151,0.82298,0.99979,1,0.995,0.97332,0.24138,0.16622,0.79894,0.000517059,0.000517059,0.000517059
56,3619.05,0.29962,0.2026,0.82143,0.99977,1,0.995,0.9744,0.23576,0.1642,0.79928,0.00050606,0.00050606,0.00050606
57,3682.25,0.29747,0.20291,0.82085,0.99981,1,0.995,0.97528,0.2354,0.16157,0.79776,0.000495062,0.000495062,0.000495062
58,3743.5,0.29349,0.19957,0.82257,0.99981,1,0.995,0.97507,0.23392,0.16223,0.79709,0.000484063,0.000484063,0.000484063
59,3807.05,0.28508,0.19445,0.82049,0.9998,1,0.995,0.97496,0.23123,0.16027,0.79745,0.000473064,0.000473064,0.000473064
60,3871.79,0.28935,0.1966,0.81797,0.99977,1,0.995,0.97447,0.23203,0.16142,0.79833,0.000462065,0.000462065,0.000462065
61,3935.94,0.29108,0.19659,0.821,0.99966,1,0.995,0.97614,0.22825,0.15916,0.79771,0.000451066,0.000451066,0.000451066
62,4000.94,0.28653,0.1946,0.82061,0.99981,1,0.995,0.97601,0.22931,0.15956,0.79842,0.000440067,0.000440067,0.000440067
63,4063.45,0.28893,0.19509,0.82392,0.99981,1,0.995,0.97635,0.2304,0.15608,0.79839,0.000429068,0.000429068,0.000429068
